,Product,Rating,Text,Date,Country,ASIN,Stars,Vader Sentiment,Length,Number of Words,Grammar Matches
0,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,"I paid $25 for these wireless buds, so I wasn't expecting much, but I gotta tell you these things are amazing for the price. To be honest I can't find a fault with them.Are they as good as Airpods?They are very close, sound quality is very good, fit and finish is very good, playback time is very good, charging time is very good and they have volume control which is rare on Bluetooth buds. They also instantly pair up.At this price range you can't find a better Bluetooth bud, trust me, I have a drawer full of crappy $25 buds.Great job Yobola, you gave us a very, very good product at the same price it costs to get two combo meals at a fast food restaurant.I am very pleased with these buds, wish I could leave more than five stars.","October 15, 2022",United States 🇺🇸,B09LCVHCVX,1,0.9929,736,140,9
1,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These work great for me! I use them on my walks and working around the house when listening to podcasts and audiobooks. My daughter (6 yo) used them on the plane and they even fit her little ears. There is a crackling every now and then in one ear bud, but other than that they sound fine. I got the pink pair and they're a great color.","October 17, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9089,336,67,3
2,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These earbuds have great sound quality and they fit good in my ears.  They feel and sound about the same as a set of Apple Air Pods.  You definitely get your money's worth!  My only complaint is that they sometimes disconnect from my phone when they are playing music.  That is the only reason I gave them 4 stars instead of 5.  Other than that, they are a great buy, and I would definitely buy them again!","October 11, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9642,406,77,2
3,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,If you’re looking for a cheap and easy pair of headphones- you’ve found them. I’m not technologically inclined but these were basic and to the point. I am also rather clumsy- and they’ve proved to be drop resistant thus far! I have a hard time with the comfort of any ‘in ear’ headphone so I can’t say they fit well but that could be a personal problem. Overall I was impressed!,"October 19, 2022",United States 🇺🇸,B09LCVHCVX,4,0.8416,378,71,5
4,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"I picked these up to listen go music while at my sewing machine and to cut out background noise while doing it. I also didn't want to pay the crazy prices of Samsung and Apple earbuds. They work surprisingly well, especially considering their price. They have done everything I needed them to do and they can be synced to two devices. I also love the color options, especially the pink. Would recommend and buy again.","October 16, 2022",United States 🇺🇸,B09LCVHCVX,4,0.7632,417,75,1
5,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,These are working great so far about a week in. Box came wrapped in cellophane. Easy to pair with my phone for listening to music at work. Fit is good for just sitting and working.  Sound quality is good for my purposes. I have only one in most of the time on low volume. Phone use works well too. Callers are able to hear me just fine. I am able to walk several offices away from my phone with no disruption. I bought a second pair for my husband.,"October 6, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9081,448,89,0
6,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,I have been looking for a pair of wireless earbuds for a long time. I came across these yobola T9 Wireless Earbuds and they were the perfect fit for me. Not only is the pink color so pretty but they also were so easy to pair up and the sound quality was excellent. The shape of the earbuds fit just right in my ear to where they stay secure in my ears without hurting them. The price is also very affordable compared to other brands that don't work as well so I highly recommend this product to my friends and family.,"October 7, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9862,517,101,5
7,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"These are okay, especially for the price. But these do not fit my ears at all and are constantly falling out. There’s always a ticking noise when I pause my audiobook and I don’t know if that’s from the audiobook or the headphones but it’s a constant and I can plow through an audiobook in a few days time. All the books are through different production groups and the ticking is ALWAYS there. That’s why I feel it might be the earbuds. Battery life is great. The magnet that holds them in the case is nice and strong. Just wish the battery was displayed on the front so I knew when to charge. Overall I am happy with the purchase.","September 11, 2022",United States 🇺🇸,B09LCVHCVX,4,0.975,631,120,2
8,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,I ordered these for deep sleep meditation. The 1st pair had a slight low toned humming sound in the left earbud. I answered a few questions via the seller on Amazon and a brand new pair was shipped out the very next day! UPS came to pick up the previous pair but I missed them and they left a shipping label for me to return at my local UPS Store free of charge. I love the product and I love the service! I’m an Apple fanatic… all of my devices are Apple and these compliment them excellently! High quality sound and design. I highly recommend this product and Seller. Thank you!,"September 30, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9882,580,111,3
9,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,I don’t even know how apple AirPods are on the market with these things available. These work just the same! They have great sound and easy instructions in follow. I use only one airpod at work at a time and lasts about 6-7 hours. My apple AirPods had a charging malfunction just a few months into using them so I’ll prob never spend that much on AirPods knowing that’s an issue. These are perfect!,"October 13, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9059,398,74,4
10,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,"Yes, my AirPods broke. My first instinct was to grab another box with Apple product but Amazon played a decent trick on me - they displayed other headphones that ""look like"" AirPods but cost small fraction of what Apple is asking. Is there any catch? Well, after reading reviews of YOBOLA wireless headphones I was convinced that it is more than worth to give them a try especially that price was so much more palatable than Apple's AirPods. There is not much point writing long review about headphones so I will be brief. After comparing AirPods (2nd generation) to Yobola, the latter one is a clear winner. Why?1. Sounds quality - Yobola sounds better especially in the lower range - i.e. much better bass2. Features - Yobola lets you adjust volume just by touch - something that Airpods cannot do. Other than that both Apple and Yobola are quite similar. BTW integration with an iPhone is flawless with both pairs of headphones3. Price -  you can get 5 Yobola headphones for the price of one Apple productIn summary I am giving YOBOLA 5 stars. Definitely worth a try","September 18, 2022",United States 🇺🇸,B09LCVHCVX,1,0.9938,1069,188,12
11,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I got these for my wife a few weeks ago, and she really likes them. They fit her ears well, the sound is great and the charging case is - well, a charging case. She actually lost one after a week or two, so we bought a second set - which is really the best vote of confidence we can give.","October 17, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9605,288,61,0
12,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Overall these are great.  I was looking at getting AirPods (2nd generation) and needed something quick.  I had my coworker test these against his AirPods.  He couldn’t tell the difference.  He was amazed.  They are fantastic for the money.  I have the boltune earbuds also.  These blow them out of the water.Note: Clean them before using.  There is a post manufacturing film or something on the microphone that causes you to sound muffled to others.  Once cleaned, I never had an issue and everyone says they can hear me loud and clear.Battery life is decent.","September 27, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9274,559,95,3
13,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I bought four pairs of these earbuds for my kids to use in our car when traveling. They were extremely affordable, and I love that they come in different colors and that they charge automatically in the case. They are easy to use and fit people with small ears or large ears. I feel like it was a great quality product for a good value! I am very happy that we chose these.","October 11, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9777,373,73,0
14,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I purchased this product as a cheaper version to hold me over until I could afford something a little better. That being said, I'm pleased with them for the price. They don't fit in my ears very well and keep falling out in random places. The sound isn't very good but it gets the point across. There is absolutely no noise cancellation but I did not purchase them for that. It gives me something to focus on in a social setting. Four stars just for that.","September 27, 2022",United States 🇺🇸,B09LCVHCVX,5,-0.3519,455,86,2
15,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These truly are awesome!! The battery life is INSANE, I think I’ve charged them once and I’ve used them for several weeks now. The pink color is so cute. The sound quality is good for what you’re buying, they fit well in my ears (which earbuds are typically too big) and I use them daily!","October 17, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9326,288,55,1
16,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"Have had these for a little while now and I use them every day during my workout! No problems connecting, charging, or running out of battery. Extremely satisfied customer! It’s hard to find headphones for a reasonable price that still are good quality, but these definitely fit that bill!","October 19, 2022",United States 🇺🇸,B09LCVHCVX,4,0.8411,289,49,1
17,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"This is probably my first Amazon review ever because this product deserves it! I’ve owned AirPods and wasn’t willing to repurchase after losing them. These are an incredible replacement, and the range between my phone and these is even better than my AirPods. The sound quality is equivalent. I am so impressed! What a steal!","October 16, 2022",United States 🇺🇸,B09LCVHCVX,5,0.5273,325,55,1
18,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Great for $20 headphones, I love that they automatically connect to Bluetooth once out of the case. The touch controls is difficult. But over all great, would buy again.","October 18, 2022",United States 🇺🇸,B09LCVHCVX,5,0.8979,169,29,1
