,Product,Reviewer Name,Rating,Text,Date,Country,ASIN,Language,Rules,Label,Stars,Vader Sentiment
0,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Will of Burr,1.0 out of 5 stars,"I am a real fan of headphones, probably because I'm somewhat older and that is what I grew up using. I don't often use earbuds but I do have a couple pair to use when travelling or outside. One of the problems I have using earbuds is the wire always seems to get in the way. This isn't an issue with my headphones because I only use those chilling in the house, but when doing yard work and the like, I do enjoy having music. My nephew let me try his airpods and they were an obvious and amazing solution except for the price. No way I could ever justify that for my use.When I saw this pair online I was somewhat skeptical but for the price I thought these might be the answer to my problem. Honestly, they work so well that I am floored. The tap to answer a phone call thing is really cool. The people on the other end of the phone call can hear me just fine so the microphone works well. The sound quality is very good and better than I would have been satisfied to enjoy from a product so well priced, that was the biggest surprise. The batteries work exactly as advertised and I think it is cool that the charged case can charge the buds so many times. The only critique I have is earbuds I used in the past have always been the kind with the gel pieces on the end. For me these are not quite as comfortable as that type but I know this is the style. If they came out with one that had a softer end, I would spend more money and buy that one also. No reason at all not to hit the buy now button on this.",11/17/2022,United States 🇺🇸,B09LCVHCVX,en,"3, 4, 5, 7 :",Suspicious,1,0.993
1,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Allen Pak,5.0 out of 5 stars,"To be honest.  I wasn't expecting much when I purchased them. There was a coupon that discounted these 30% and were under $20 so why not give them a try.I was pleasantly surprised how easy they connected to my phone. They headset buttons are multifunctional which is great such has volume up/down, pause/play and skip tracks.  It does take a little time to get use to it due to the time you press and/or how long you hold the button down for.Battery life is pretty long and the case is a self charging case. I haven't plugged it in for a charge for over a week and they work great with no issues. I have only used these for music and the quality is really good especially for the price. You can't compare these with higher quality music headphones because there's a huge price difference however I'm very please with the sound quality.Now comparing the quality and price to the other fruit brand? Personally I don't feel its worth paying $100+ more for those. Yes quality might be better but $100 worth better? No.  I work for a top Fortune 15 company in technology and these are worth it.Only dislikes would be that the charging case seems flimsy and the ear buds don't fit perfectly in my ear. You need to move then around at times for the best fit yet they are pretty light and comfortable. I do prefer earbuds with gel inserts which these don't have. They do however have the same fitment as the famous fruit brand ear buds. So if those fit you well then these are the same. Im just not a fan of the shape. Also at times if you move them around for a better fit, you accidently might press the button which stops or pauses the music you're playing, no big deal though.All in all a fantastic wireless bluetooth headset for the low price.",10/25/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,5,0.9668
2,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",brenda,5.0 out of 5 stars,"1st off they connected very easily which is always a nice way to start secondly I am pretty impressed that best I can tell these seem to have a better distance than my earbuds for walking away from my phone and still being connected which really amazed me and for the most part they noise cancel of course I don't always turn it up so I'm not really sure it's at least a 4 maybe 5 star on that. The charge time is pretty quick too, nice feature! Another key element is they are more comfortable than my airbuds that's really important too if you're goung to wear them for a long time  I use them for driving sometimes well with one Bud and for music in my house with both in,  which helps me to get things done!:) Overall a great product I would buy again for sure!",11/29/2022,United States 🇺🇸,B09LCVHCVX,en,"3, 4, 6 :",Suspicious,5,0.9894
3,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Rachel M. Isett,4.0 out of 5 stars,"I have been needing a new set of headphones for ages, and I had bought a pair of Billboards from Dollar General. I hated them so much so I immediately began searching for something different. I came across these and thought I would give them a chance. I really don’t like Bluetooth headphones, but iPhone makes it impossible to use corded headphones. I just don’t like batteries dying on my walks, as I’m very sound sensitive and it doesn’t take me long to go into sensory overload.However, the sound quality of these is amazing. I think it could with a little more clarity in the treble and mids, but the bass is fantastic! My boyfriend is listening to music in the other room and I can’t hear it at all. They fit well in my ears, though I’ll probably fit them with silicone anchors to keep them from slipping away from me. I’m thrilled. Very happy with my purchase.",11/28/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,4,0.9898
4,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Cheryl ShotGlass,5.0 out of 5 stars,"Here’s the story and why I will recommend this product to everyone shopping for new earbuds.I lost my left earbud and couldn’t find it anywhere.Bought a different set(the sucked)Bought another pair of these and I am extremely  happy to have the sound quality and noise canceling back.I lost the left bud in my driveway about 2 months ago.Noticed it in the grass and was sure it was a goner. But I cleaned it up reconnected it and to my amazement it still had some charge in it. It also works perfectly.So for it to be outside for 2 months in the rain, and being run over by my car in the dirt for that long and still alive.10/10",12/2/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,5,0.6424
5,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Amazon Customer,5.0 out of 5 stars,"So I left my Apple AirPods in a hotel in another state. Just didn’t wanna drop $$ on another pair. Found d these and read the reviews. For the money I figured why not! So they look a lot like the other brand. They paired easily and fast. Sound is great. Overall construction and feel is different, not cheap, but different. Very light and easy on the ears. They fit and feel great and don’t cause ears to ache, and they seem to stay in without constantly having to readjust. I dig the the east touch sensors to increase volume, fast forward songs, etc. I got the black and am thinking about grabbing the white to have a back up pair.",11/22/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,5,0.9548
6,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Samantha Kwok,5.0 out of 5 stars,"I had been searching for moderately priced wireless earbuds for my Samsung S22 because I always forget that there's no earphone hole. I was a little sus on the price of these, but after a couple weeks of using them, the sound is really clear and the battery life lasts quite a long time. Not sure about the noise canceling though since I typically only use one side most of the time. I guess that part is so-so because I can still hear the background noises when I use both sides. I'm still getting used to wearing them because sometimes when I brush my hands too close to the earbuds, they fall out. Been careful not to go to the bathroom with them on in case they fall in. 😅",11/4/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,5,0.3064
7,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Amazon Customer,4.0 out of 5 stars,"I was a bit skeptical buying it, but reviews convinced me and I have no regrets. The reason I'm writing this so people know that you don't have to pay tons to get a good product. This IS a good product!Clear sound, and they keep charge for a long time. I charge them once every two weeks.  Most of the earbuds just won't stay in my ears,  but this ones different.  However sometimes when I laugh,  they sometimes one will still fell out. :) Also, it took me a while to get used to sensors to turn then on ann off. So, sometimes I forget and touch them in the middle of the conversation which will hang up the call, but it is minor thing.",11/18/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,4,0.9249
8,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",chris veteto,4.0 out of 5 stars,"I purchased these earbuds for my 14-year-old grandson as an early Christmas present. He was excited to received them, but after a week of using them, I asked his mom what he really thought about them.This is what she said, “He wears them from the moment he gets home from school until he goes to bed. They are easy to use and charge.” I feel like this gift was a big win if a 14-year-old gives them a thumbs up. ☺️",12/2/2022,United States 🇺🇸,B09LCVHCVX,en,,Not Suspicious,4,0.9616
9,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",Kristina,5.0 out of 5 stars,"So I never write reviews online, but feel compelled to do so for this purchase because of how blown away I am by these earbuds.I can't find my t14's for the life of me and, upon the pre-gym self-loathing in my truck today (lol) at the thought of a workout without them, I began browsing Amazon for the same pair.Sadly, I couldn't find them, but I am happy to have happened upon these!Not only did they show up in less than 6 hours from the moment I ordered them in the gym parking lot (seriously Amazon, this is getting a bit scary haha!), but I just tested them out and am blown away at the sound quality I received for only having spent $25 (plus tax it came out to around 27)! They paired in under a minute as well.I'm deaf in my left ear, so wearing both buds can be superfluous, but these actually give off enough bass to give me the sensation of ""hearing"" on my deaf side. For those who dont understand, because I only went deaf in that ear 2 years ago, it helps u feel less ""imbalanced"", so it's a HUGE plus for me with my vertigo. You can still tell there's some sort of sound happening.The only downside I can see is that, when I went to test them, they seemed a bit larger than my old ones. However, I haven't worn my old ones in a very long time, as I've been going to the gym with a friend and enjoying her company instead, so I'm hoping my ears just have to adapt to them.Overall, I'm very pleased with my purchase and hope you are too if you order these! :)Ps- the packaging they came in was also very nice. They're encased in the black foam you'd typically see in gun cases, or cases for musical instruments and such, not some cheap plastic. Not sure if this matters, but it makes me feel like the company is just putting a little extra thought into their customer's experience!",9/24/2022,United States,B09LCVHCVX,en,"3, 7 :",Suspicious,5,0.9907
